model,dataset,method,bits,bytes_per_vector,r1_mean,r1_std,r10_mean,r10_std,r100_mean,r100_std,training
remoteclip,eurosat,product_quant,2,128,0.8130,0.0200,0.8843,0.0044,0.9349,0.0009,yes
remoteclip,eurosat,product_quant,4,256,0.9401,0.0089,0.9607,0.0018,0.9803,0.0004,yes
remoteclip,eurosat,rabitq,1,64,0.3821,0.0356,0.5670,0.0111,0.7288,0.0053,no
remoteclip,eurosat,randproj_quant,2,128,0.4716,0.0267,0.6373,0.0054,0.7660,0.0047,no
remoteclip,eurosat,randproj_quant,3,192,0.5790,0.0269,0.6983,0.0056,0.8087,0.0077,no
remoteclip,eurosat,randproj_quant,4,256,0.5759,0.0417,0.7185,0.0129,0.8260,0.0069,no
remoteclip,eurosat,simhash_multi,2,128,0.5105,0.0376,0.6631,0.0055,0.7904,0.0023,no
remoteclip,eurosat,simhash_multi,3,192,0.5722,0.0323,0.7156,0.0071,0.8267,0.0034,no
remoteclip,eurosat,simhash_multi,4,256,0.6247,0.0345,0.7510,0.0087,0.8480,0.0029,no
remoteclip,eurosat,turboquant_ada,2,132,0.5537,0.0320,0.7216,0.0082,0.8446,0.0026,yes
remoteclip,eurosat,turboquant_ada,3,196,0.7315,0.0164,0.8393,0.0036,0.9207,0.0018,yes
remoteclip,eurosat,turboquant_ada,4,260,0.8506,0.0050,0.9121,0.0022,0.9588,0.0018,yes
remoteclip,eurosat,turboquant_mse,2,132,0.5444,0.0395,0.7153,0.0054,0.8418,0.0032,no
remoteclip,eurosat,turboquant_mse,3,196,0.7105,0.0069,0.8344,0.0045,0.9180,0.0015,no
remoteclip,eurosat,turboquant_mse,4,260,0.8383,0.0250,0.9115,0.0059,0.9582,0.0005,no
remoteclip,eurosat,uniform_sq,2,132,0.3753,0.0305,0.5421,0.0074,0.7100,0.0049,no
remoteclip,eurosat,uniform_sq,3,196,0.3753,0.0305,0.5421,0.0074,0.7100,0.0049,no
remoteclip,eurosat,uniform_sq,4,260,0.3778,0.0283,0.5486,0.0052,0.7144,0.0049,no
